Payment_ID,Subscription_ID,Customer_ID,Payment_Date,Payment_Method,Amount
PAY000000080,SU00000080,CU000015,2023-03-25,Cash,135.0
PAY000000081,SU00000081,CU000015,2024-03-24,Cash,135.0
PAY000000082,SU00000082,CU000015,2022-06-16,Cash,90.0
PAY000000083,SU00000083,CU000015,2023-06-17,Cash,90.0
PAY000000084,SU00000084,CU000015,2024-06-14,Cash,90.0
PAY000000085,SU00000085,CU000016,2022-01-05,Debit Card,20.0
PAY000000086,SU00000086,CU000016,2022-02-02,Debit Card,20.0
PAY000000087,SU00000087,CU000016,2022-03-02,Debit Card,20.0
PAY000000088,SU00000088,CU000016,2022-03-30,Debit Card,20.0
PAY000000089,SU00000089,CU000016,2022-04-27,Debit Card,20.0
PAY000000090,SU00000090,CU000016,2022-05-25,Credit Card,180.0
PAY000000091,SU00000091,CU000016,2023-05-25,Debit Card,180.0
PAY000000092,SU00000092,CU000016,2024-05-24,Debit Card,180.0
PAY000000093,SU00000093,CU000016,2022-04-13,Debit Card,90.0
PAY000000094,SU00000094,CU000016,2023-04-13,Debit Card,90.0
PAY000000095,SU00000095,CU000016,2024-04-12,Debit Card,135.0
PAY000000096,SU00000096,CU000016,2022-07-04,Debit Card,90.0
PAY000000097,SU00000097,CU000016,2023-07-04,Debit Card,135.0
PAY000000098,SU00000098,CU000017,2022-01-14,Debit Card,10.0
PAY000000099,SU00000099,CU000017,2022-02-05,Cash,90.0
PAY000000100,SU00000100,CU000017,2023-02-05,Cash,90.0
PAY000000101,SU00000101,CU000017,2024-02-05,Cash,90.0
PAY000000102,SU00000102,CU000017,2025-02-04,Cash,90.0
PAY000000103,SU00000103,CU000018,2022-01-20,Credit Card,15.0
PAY000000104,SU00000104,CU000018,2022-02-17,Credit Card,15.0
PAY000000105,SU00000105,CU000018,2022-03-17,Credit Card,15.0
PAY000000106,SU00000106,CU000018,2022-04-14,Credit Card,15.0
PAY000000107,SU00000107,CU000018,2022-05-12,Credit Card,15.0
PAY000000108,SU00000108,CU000018,2022-06-09,Credit Card,135.0
PAY000000109,SU00000109,CU000018,2023-06-09,Credit Card,180.0
PAY000000110,SU00000110,CU000018,2024-06-08,Credit Card,180.0
PAY000000111,SU00000111,CU000018,2022-04-16,Credit Card,180.0
PAY000000112,SU00000112,CU000018,2023-04-16,Bank Transfer,180.0
PAY000000113,SU00000113,CU000018,2024-04-15,Credit Card,180.0
PAY000000114,SU00000114,CU000018,2022-07-11,Credit Card,135.0
PAY000000115,SU00000115,CU000018,2023-07-11,Credit Card,135.0
PAY000000116,SU00000116,CU000019,2022-01-05,Bank Transfer,90.0
PAY000000117,SU00000117,CU000019,2023-01-05,Bank Transfer,90.0
PAY000000118,SU00000118,CU000019,2024-01-05,Bank Transfer,90.0
PAY000000119,SU00000119,CU000020,2022-01-12,Credit Card,10.0
PAY000000120,SU00000120,CU000020,2022-02-09,Bank Transfer,10.0
PAY000000121,SU00000121,CU000020,2022-03-09,Bank Transfer,10.0
PAY000000122,SU00000122,CU000020,2022-04-06,Bank Transfer,10.0
PAY000000123,SU00000123,CU000020,2022-05-04,Bank Transfer,10.0
PAY000000124,SU00000124,CU000020,2022-06-01,Bank Transfer,10.0
PAY000000125,SU00000125,CU000020,2022-06-29,Bank Transfer,10.0
PAY000000126,SU00000126,CU000020,2022-07-27,Bank Transfer,10.0
PAY000000127,SU00000127,CU000020,2022-08-24,Bank Transfer,90.0
PAY000000128,SU00000128,CU000020,2023-08-24,Bank Transfer,90.0
PAY000000129,SU00000129,CU000020,2024-08-23,Bank Transfer,90.0
PAY000000130,SU00000130,CU000020,2022-06-06,Bank Transfer,10.0
PAY000000131,SU00000131,CU000020,2022-07-04,Bank Transfer,90.0
PAY000000132,SU00000132,CU000020,2023-07-04,Bank Transfer,90.0
PAY000000133,SU00000133,CU000020,2024-07-03,Bank Transfer,135.0
PAY000000134,SU00000134,CU000021,2022-01-13,Bank Transfer,90.0
PAY000000135,SU00000135,CU000021,2023-01-13,Bank Transfer,90.0
PAY000000136,SU00000136,CU000021,2024-01-13,Bank Transfer,90.0
PAY000000137,SU00000137,CU000022,2022-01-19,Credit Card,90.0
PAY000000138,SU00000138,CU000022,2023-01-19,Credit Card,90.0
PAY000000139,SU00000139,CU000022,2024-01-19,Credit Card,90.0
PAY000000140,SU00000140,CU000023,2022-01-23,Debit Card,15.0
PAY000000141,SU00000141,CU000023,2022-02-20,Credit Card,15.0
PAY000000142,SU00000142,CU000023,2022-03-20,Debit Card,135.0
PAY000000143,SU00000143,CU000023,2023-03-20,Debit Card,135.0
PAY000000144,SU00000144,CU000023,2024-03-19,Debit Card,135.0
PAY000000145,SU00000145,CU000024,2022-01-12,Cash,10.0
PAY000000146,SU00000146,CU000024,2022-02-09,Cash,10.0
PAY000000147,SU00000147,CU000024,2022-03-07,Cash,10.0
PAY000000148,SU00000148,CU000024,2022-04-05,Cash,10.0
PAY000000149,SU00000149,CU000024,2022-05-02,Cash,10.0
PAY000000150,SU00000150,CU000024,2022-05-30,Cash,90.0
PAY000000151,SU00000151,CU000024,2023-05-30,Cash,135.0
PAY000000152,SU00000152,CU000024,2024-05-31,Cash,180.0
PAY000000153,SU00000153,CU000025,2022-01-02,Cash,10.0
PAY000000154,SU00000154,CU000025,2022-01-30,Cash,10.0
PAY000000155,SU00000155,CU000025,2022-03-04,Credit Card,10.0
PAY000000156,SU00000156,CU000025,2022-03-27,Cash,10.0
PAY000000157,SU00000157,CU000025,2022-04-24,Cash,10.0
PAY000000158,SU00000158,CU000025,2022-05-22,Cash,90.0
PAY000000159,SU00000159,CU000025,2023-05-20,Cash,135.0
PAY000000160,SU00000160,CU000025,2024-05-26,Debit Card,180.0
PAY000000161,SU00000161,CU000026,2022-01-10,Credit Card,90.0
PAY000000162,SU00000162,CU000026,2023-01-10,Credit Card,90.0
PAY000000163,SU00000163,CU000026,2024-01-10,Credit Card,135.0
PAY000000164,SU00000164,CU000027,2022-01-16,Credit Card,15.0
PAY000000165,SU00000165,CU000027,2022-02-13,Credit Card,15.0
PAY000000166,SU00000166,CU000027,2022-03-13,Credit Card,15.0
PAY000000167,SU00000167,CU000027,2022-04-10,Credit Card,15.0
PAY000000168,SU00000168,CU000027,2022-05-08,Credit Card,15.0
PAY000000169,SU00000169,CU000027,2022-06-05,Credit Card,15.0
PAY000000170,SU00000170,CU000027,2022-07-03,Credit Card,15.0
PAY000000171,SU00000171,CU000027,2022-07-31,Credit Card,15.0
PAY000000172,SU00000172,CU000027,2022-08-28,Debit Card,15.0
PAY000000173,SU00000173,CU000027,2022-09-25,Credit Card,15.0
PAY000000174,SU00000174,CU000027,2022-10-23,Credit Card,15.0
PAY000000175,SU00000175,CU000027,2022-11-20,Credit Card,15.0
PAY000000176,SU00000176,CU000027,2022-12-18,Credit Card,15.0
PAY000000177,SU00000177,CU000027,2023-01-15,Credit Card,15.0
PAY000000178,SU00000178,CU000027,2023-02-12,Credit Card,15.0
PAY000000179,SU00000179,CU000027,2023-03-12,Credit Card,15.0
PAY000000180,SU00000180,CU000027,2023-04-09,Credit Card,15.0
PAY000000181,SU00000181,CU000027,2023-05-07,Credit Card,15.0
PAY000000182,SU00000182,CU000027,2023-06-04,Credit Card,135.0
PAY000000183,SU00000183,CU000027,2024-06-03,Credit Card,135.0
PAY000000184,SU00000184,CU000028,2022-01-08,Bank Transfer,135.0
PAY000000185,SU00000185,CU000028,2023-01-08,Bank Transfer,135.0
PAY000000186,SU00000186,CU000028,2024-01-08,Credit Card,135.0
PAY000000187,SU00000187,CU000029,2022-01-15,Cash,135.0
PAY000000188,SU00000188,CU000029,2023-01-13,Cash,135.0
PAY000000189,SU00000189,CU000029,2024-01-13,Cash,135.0
PAY000000190,SU00000190,CU000030,2021-12-27,Cash,135.0
PAY000000191,SU00000191,CU000030,2023-01-01,Credit Card,135.0
PAY000000192,SU00000192,CU000030,2023-12-25,Cash,135.0
PAY000000193,SU00000193,CU000030,2024-12-31,Credit Card,135.0
PAY000000194,SU00000194,CU000031,2022-01-21,Cash,20.0
PAY000000195,SU00000195,CU000031,2022-02-17,Cash,20.0
PAY000000196,SU00000196,CU000031,2022-03-17,Cash,20.0
PAY000000197,SU00000197,CU000031,2022-04-15,Cash,20.0
PAY000000198,SU00000198,CU000031,2022-05-11,Cash,20.0
PAY000000199,SU00000199,CU000031,2022-06-08,Cash,20.0
PAY000000200,SU00000200,CU000031,2022-07-07,Cash,20.0
PAY000000201,SU00000201,CU000031,2022-08-03,Cash,180.0
PAY000000202,SU00000202,CU000031,2023-08-10,Credit Card,180.0
PAY000000203,SU00000203,CU000031,2024-08-02,Cash,180.0
PAY000000204,SU00000204,CU000032,2022-01-23,Cash,90.0
PAY000000205,SU00000205,CU000032,2023-01-21,Cash,135.0
PAY000000206,SU00000206,CU000032,2024-01-23,Cash,135.0
PAY000000207,SU00000207,CU000033,2022-01-14,Credit Card,90.0
PAY000000208,SU00000208,CU000033,2023-01-14,Credit Card,90.0
PAY000000209,SU00000209,CU000033,2024-01-14,Credit Card,135.0
PAY000000210,SU00000210,CU000034,2022-01-19,Credit Card,15.0
PAY000000211,SU00000211,CU000034,2022-02-16,Credit Card,15.0
PAY000000212,SU00000212,CU000034,2022-03-16,Credit Card,135.0
PAY000000213,SU00000213,CU000034,2023-03-16,Credit Card,135.0
PAY000000214,SU00000214,CU000034,2024-03-15,Credit Card,135.0
PAY000000215,SU00000215,CU000035,2022-01-08,PayPal,135.0
PAY000000216,SU00000216,CU000035,2023-01-08,PayPal,135.0
PAY000000217,SU00000217,CU000035,2024-01-08,PayPal,135.0
PAY000000218,SU00000218,CU000036,2022-01-17,Credit Card,90.0
PAY000000219,SU00000219,CU000036,2023-01-17,Credit Card,90.0
PAY000000220,SU00000220,CU000036,2024-01-17,Credit Card,135.0
PAY000000221,SU00000221,CU000037,2022-01-23,Credit Card,90.0
PAY000000222,SU00000222,CU000037,2023-01-23,Bank Transfer,135.0
PAY000000223,SU00000223,CU000037,2024-01-23,Credit Card,135.0
PAY000000224,SU00000224,CU000038,2022-01-01,Credit Card,10.0
PAY000000225,SU00000225,CU000038,2022-01-29,Credit Card,10.0
PAY000000226,SU00000226,CU000038,2022-02-26,Credit Card,10.0
PAY000000227,SU00000227,CU000038,2022-03-26,Credit Card,90.0
PAY000000228,SU00000228,CU000038,2023-03-26,Credit Card,135.0
PAY000000229,SU00000229,CU000038,2024-03-19,Cash,135.0
PAY000000230,SU00000230,CU000039,2022-01-05,Cash,135.0
PAY000000231,SU00000231,CU000039,2023-01-05,Cash,135.0
PAY000000232,SU00000232,CU000039,2024-01-06,Cash,135.0
PAY000000233,SU00000233,CU000040,2022-01-22,Cash,10.0
PAY000000234,SU00000234,CU000040,2022-02-19,Cash,10.0
PAY000000235,SU00000235,CU000040,2022-03-19,Cash,10.0
PAY000000236,SU00000236,CU000040,2022-04-22,Credit Card,10.0
PAY000000237,SU00000237,CU000040,2022-05-15,Cash,10.0
PAY000000238,SU00000238,CU000040,2022-06-11,Cash,10.0
PAY000000239,SU00000239,CU000040,2022-07-15,PayPal,10.0
PAY000000240,SU00000240,CU000040,2022-08-07,Cash,90.0
PAY000000241,SU00000241,CU000040,2023-08-06,Cash,90.0
PAY000000242,SU00000242,CU000040,2024-08-06,Cash,90.0
PAY000000243,SU00000243,CU000041,2022-01-29,Bank Transfer,20.0
PAY000000244,SU00000244,CU000041,2022-02-26,Bank Transfer,20.0
PAY000000245,SU00000245,CU000041,2022-03-26,Bank Transfer,20.0
PAY000000246,SU00000246,CU000041,2022-04-23,Bank Transfer,20.0
PAY000000247,SU00000247,CU000041,2022-05-21,Bank Transfer,20.0
PAY000000248,SU00000248,CU000041,2022-06-18,Bank Transfer,20.0
PAY000000249,SU00000249,CU000041,2022-07-16,Credit Card,180.0
PAY000000250,SU00000250,CU000041,2023-07-16,Bank Transfer,180.0
PAY000000251,SU00000251,CU000041,2024-07-15,Bank Transfer,180.0
PAY000000252,SU00000252,CU000042,2022-01-01,Credit Card,20.0
PAY000000253,SU00000253,CU000042,2022-01-29,PayPal,20.0
PAY000000254,SU00000254,CU000042,2022-02-26,Credit Card,180.0
PAY000000255,SU00000255,CU000042,2023-02-26,Credit Card,180.0
PAY000000256,SU00000256,CU000042,2024-02-26,Debit Card,180.0
PAY000000257,SU00000257,CU000042,2025-02-20,Cash,180.0
PAY000000258,SU00000258,CU000043,2022-01-19,Cash,180.0
PAY000000259,SU00000259,CU000043,2023-01-18,Cash,180.0
PAY000000260,SU00000260,CU000043,2024-01-19,Cash,180.0
PAY000000261,SU00000261,CU000044,2022-01-08,Cash,180.0
PAY000000262,SU00000262,CU000044,2023-01-06,Cash,180.0
PAY000000263,SU00000263,CU000044,2024-01-08,Cash,180.0
PAY000000264,SU00000264,CU000045,2022-01-01,Cash,10.0
PAY000000265,SU00000265,CU000045,2022-02-05,Debit Card,90.0
PAY000000266,SU00000266,CU000045,2023-02-05,Credit Card,90.0
PAY000000267,SU00000267,CU000045,2024-02-05,Credit Card,135.0
PAY000000268,SU00000268,CU000045,2025-02-04,Credit Card,180.0
PAY000000269,SU00000269,CU000046,2022-01-04,Bank Transfer,90.0
PAY000000270,SU00000270,CU000046,2023-01-04,Bank Transfer,90.0
PAY000000271,SU00000271,CU000046,2024-01-04,Bank Transfer,90.0
PAY000000272,SU00000272,CU000046,2022-06-18,Bank Transfer,90.0
PAY000000273,SU00000273,CU000046,2023-06-18,Debit Card,90.0
PAY000000274,SU00000274,CU000046,2022-08-29,Cash,20.0
PAY000000275,SU00000275,CU000046,2022-10-03,Bank Transfer,20.0
PAY000000276,SU00000276,CU000046,2022-10-31,Bank Transfer,20.0
PAY000000277,SU00000277,CU000046,2022-11-28,Bank Transfer,180.0
PAY000000278,SU00000278,CU000046,2023-11-28,Credit Card,180.0
PAY000000279,SU00000279,CU000046,2024-11-27,Bank Transfer,180.0
PAY000000280,SU00000280,CU000047,2022-01-05,Credit Card,90.0
PAY000000281,SU00000281,CU000047,2023-01-05,Credit Card,90.0
PAY000000282,SU00000282,CU000047,2024-01-05,Credit Card,90.0
PAY000000283,SU00000283,CU000048,2022-01-01,Credit Card,15.0
PAY000000284,SU00000284,CU000048,2022-01-29,Debit Card,15.0
PAY000000285,SU00000285,CU000048,2022-02-26,Credit Card,15.0
PAY000000286,SU00000286,CU000048,2022-03-26,Debit Card,15.0
PAY000000287,SU00000287,CU000048,2022-04-23,Debit Card,15.0
PAY000000288,SU00000288,CU000048,2022-05-21,Debit Card,15.0
PAY000000289,SU00000289,CU000048,2022-06-18,Credit Card,135.0
PAY000000290,SU00000290,CU000048,2023-06-18,Debit Card,135.0
PAY000000291,SU00000291,CU000048,2024-06-11,Cash,135.0
PAY000000292,SU00000292,CU000048,2022-04-19,Cash,10.0
PAY000000293,SU00000293,CU000048,2022-05-24,Debit Card,90.0
PAY000000294,SU00000294,CU000048,2023-05-24,Debit Card,135.0
PAY000000295,SU00000295,CU000048,2024-05-23,Debit Card,180.0
PAY000000296,SU00000296,CU000049,2022-01-08,Cash,135.0
PAY000000297,SU00000297,CU000049,2023-01-06,Cash,135.0
PAY000000298,SU00000298,CU000049,2024-01-13,Debit Card,180.0
PAY000000299,SU00000299,CU000049,2022-06-11,Cash,10.0
PAY000000300,SU00000300,CU000049,2022-07-09,Cash,10.0
PAY000000301,SU00000301,CU000049,2022-08-06,Cash,10.0
PAY000000302,SU00000302,CU000049,2022-09-03,Cash,10.0
PAY000000303,SU00000303,CU000049,2022-10-03,Cash,10.0
PAY000000304,SU00000304,CU000049,2022-10-31,Cash,10.0
PAY000000305,SU00000305,CU000049,2022-11-27,Cash,10.0
PAY000000306,SU00000306,CU000049,2022-12-26,Cash,10.0
PAY000000307,SU00000307,CU000049,2023-01-23,Cash,90.0
PAY000000308,SU00000308,CU000049,2024-01-22,Cash,135.0
PAY000000309,SU00000309,CU000049,2025-01-27,Credit Card,135.0
PAY000000310,SU00000310,CU000050,2022-01-21,Credit Card,180.0
PAY000000311,SU00000311,CU000050,2023-01-21,Credit Card,180.0
PAY000000312,SU00000312,CU000050,2024-01-21,Credit Card,180.0
PAY000000313,SU00000313,CU000051,2022-01-06,Debit Card,15.0
PAY000000314,SU00000314,CU000051,2022-02-03,Debit Card,135.0
PAY000000315,SU00000315,CU000051,2023-02-03,PayPal,135.0
PAY000000316,SU00000316,CU000051,2024-02-03,Debit Card,135.0
PAY000000317,SU00000317,CU000051,2025-02-02,Debit Card,135.0
PAY000000318,SU00000318,CU000051,2022-02-25,PayPal,180.0
PAY000000319,SU00000319,CU000051,2023-02-25,Debit Card,180.0
PAY000000320,SU00000320,CU000051,2024-02-25,Debit Card,180.0
PAY000000321,SU00000321,CU000052,2022-01-02,Credit Card,135.0
PAY000000322,SU00000322,CU000052,2023-01-02,Bank Transfer,180.0
PAY000000323,SU00000323,CU000052,2024-01-02,Bank Transfer,180.0
PAY000000324,SU00000324,CU000052,2025-01-01,Bank Transfer,180.0
PAY000000325,SU00000325,CU000053,2022-01-01,Debit Card,90.0
PAY000000326,SU00000326,CU000053,2023-01-01,Debit Card,90.0
PAY000000327,SU00000327,CU000053,2024-01-01,Debit Card,90.0
PAY000000328,SU00000328,CU000054,2022-01-16,Bank Transfer,15.0
PAY000000329,SU00000329,CU000054,2022-02-13,Bank Transfer,15.0
PAY000000330,SU00000330,CU000054,2022-03-13,Credit Card,15.0
PAY000000331,SU00000331,CU000054,2022-04-10,Bank Transfer,15.0
PAY000000332,SU00000332,CU000054,2022-05-08,Credit Card,15.0
PAY000000333,SU00000333,CU000054,2022-06-05,Bank Transfer,135.0
PAY000000334,SU00000334,CU000054,2023-06-05,Bank Transfer,135.0
PAY000000335,SU00000335,CU000054,2024-06-04,Bank Transfer,135.0
PAY000000336,SU00000336,CU000055,2022-01-16,Cash,15.0
PAY000000337,SU00000337,CU000055,2022-02-18,Credit Card,15.0
PAY000000338,SU00000338,CU000055,2022-03-12,Cash,15.0
PAY000000339,SU00000339,CU000055,2022-04-08,Cash,15.0
PAY000000340,SU00000340,CU000055,2022-05-07,Cash,15.0
PAY000000341,SU00000341,CU000055,2022-06-05,Cash,15.0
PAY000000342,SU00000342,CU000055,2022-07-02,Cash,135.0
PAY000000343,SU00000343,CU000055,2023-07-01,Cash,135.0
PAY000000344,SU00000344,CU000055,2024-07-01,Cash,180.0
PAY000000345,SU00000345,CU000055,2022-06-03,Cash,90.0
PAY000000346,SU00000346,CU000055,2023-06-05,Cash,90.0
PAY000000347,SU00000347,CU000055,2024-06-04,Cash,135.0
PAY000000348,SU00000348,CU000055,2022-08-09,Credit Card,135.0
PAY000000349,SU00000349,CU000055,2023-08-03,Cash,135.0
PAY000000350,SU00000350,CU000055,2024-08-02,Cash,135.0
PAY000000351,SU00000351,CU000056,2022-01-08,Cash,90.0
PAY000000352,SU00000352,CU000056,2023-01-07,Cash,90.0
PAY000000353,SU00000353,CU000056,2024-01-07,Cash,135.0
PAY000000354,SU00000354,CU000057,2022-01-11,Credit Card,10.0
PAY000000355,SU00000355,CU000057,2022-02-08,Credit Card,10.0
PAY000000356,SU00000356,CU000057,2022-03-08,Credit Card,10.0
PAY000000357,SU00000357,CU000057,2022-04-05,Credit Card,10.0
PAY000000358,SU00000358,CU000057,2022-05-03,Credit Card,10.0
PAY000000359,SU00000359,CU000057,2022-05-31,Credit Card,10.0
PAY000000360,SU00000360,CU000057,2022-06-28,Credit Card,10.0
PAY000000361,SU00000361,CU000057,2022-07-26,Credit Card,10.0
PAY000000362,SU00000362,CU000057,2022-08-23,Credit Card,10.0
PAY000000363,SU00000363,CU000057,2022-09-20,Credit Card,10.0
PAY000000364,SU00000364,CU000057,2022-10-18,Credit Card,10.0
PAY000000365,SU00000365,CU000057,2022-11-15,Credit Card,10.0
PAY000000366,SU00000366,CU000057,2022-12-13,Credit Card,10.0
PAY000000367,SU00000367,CU000057,2023-01-10,Credit Card,10.0
PAY000000368,SU00000368,CU000057,2023-02-07,Credit Card,10.0
PAY000000369,SU00000369,CU000057,2023-03-07,Credit Card,10.0
PAY000000370,SU00000370,CU000057,2023-04-04,Credit Card,10.0
PAY000000371,SU00000371,CU000057,2023-05-02,Credit Card,90.0
PAY000000372,SU00000372,CU000057,2024-05-01,Credit Card,90.0
PAY000000373,SU00000373,CU000058,2022-01-23,Bank Transfer,90.0
PAY000000374,SU00000374,CU000058,2023-01-23,Bank Transfer,90.0
PAY000000375,SU00000375,CU000058,2024-01-23,Bank Transfer,90.0
PAY000000376,SU00000376,CU000058,2022-03-21,Bank Transfer,90.0
PAY000000377,SU00000377,CU000058,2023-03-21,Bank Transfer,135.0
PAY000000378,SU00000378,CU000058,2024-03-20,Bank Transfer,135.0
PAY000000379,SU00000379,CU000059,2022-01-09,Debit Card,180.0
PAY000000380,SU00000380,CU000059,2023-01-09,Debit Card,180.0
PAY000000381,SU00000381,CU000059,2024-01-09,Credit Card,180.0
PAY000000382,SU00000382,CU000059,2022-06-12,Debit Card,135.0
PAY000000383,SU00000383,CU000059,2023-06-12,Debit Card,135.0
PAY000000384,SU00000384,CU000059,2024-06-11,Debit Card,135.0
PAY000000385,SU00000385,CU000060,2021-12-25,Cash,135.0
PAY000000386,SU00000386,CU000060,2022-12-27,Cash,135.0
PAY000000387,SU00000387,CU000060,2023-12-26,Cash,135.0
PAY000000388,SU00000388,CU000060,2024-12-25,Cash,135.0
PAY000000389,SU00000389,CU000060,2022-03-27,Cash,15.0
PAY000000390,SU00000390,CU000060,2022-04-23,Cash,135.0
PAY000000391,SU00000391,CU000060,2023-04-22,Cash,135.0
PAY000000392,SU00000392,CU000060,2024-04-28,Debit Card,180.0
PAY000000393,SU00000393,CU000060,2022-06-15,Cash,90.0
PAY000000394,SU00000394,CU000060,2023-06-15,Cash,90.0
PAY000000395,SU00000395,CU000061,2021-12-30,Cash,15.0
PAY000000396,SU00000396,CU000061,2022-01-27,Cash,15.0
PAY000000397,SU00000397,CU000061,2022-02-23,Cash,15.0
PAY000000398,SU00000398,CU000061,2022-03-25,Cash,135.0
PAY000000399,SU00000399,CU000061,2023-03-25,Cash,180.0
PAY000000400,SU00000400,CU000061,2024-03-22,Cash,180.0
PAY000000401,SU00000401,CU000062,2022-01-16,Credit Card,10.0
PAY000000402,SU00000402,CU000062,2022-02-13,Bank Transfer,10.0
