subscription_id,customer_id,phone_id,plan_id,start_date,end_date
SU00000048,CU000011,PH000014,PL0002,2022/1/9,2023/1/8
SU00000049,CU000011,PH000014,PL0002,2023/1/9,2024/1/8
SU00000050,CU000011,PH000014,PL0004,2024/1/9,2025/1/7
SU00000051,CU000012,PH000015,PL0001,2022/1/25,2022/2/21
SU00000052,CU000012,PH000015,PL0001,2022/2/22,2022/3/21
SU00000053,CU000012,PH000015,PL0001,2022/3/22,2022/4/18
SU00000054,CU000012,PH000015,PL0001,2022/4/19,2022/5/16
SU00000055,CU000012,PH000015,PL0001,2022/5/17,2022/6/13
SU00000056,CU000012,PH000015,PL0001,2022/6/14,2022/7/11
SU00000057,CU000012,PH000015,PL0002,2022/7/12,2023/7/11
SU00000058,CU000012,PH000015,PL0002,2023/7/12,2024/7/10
SU00000059,CU000012,PH000015,PL0002,2024/7/11,2025/7/10
SU00000060,CU000013,PH000016,PL0005,2022/1/18,2022/2/14
SU00000061,CU000013,PH000016,PL0005,2022/2/15,2022/3/14
SU00000062,CU000013,PH000016,PL0005,2022/3/15,2022/4/11
SU00000063,CU000013,PH000016,PL0005,2022/4/12,2022/5/9
SU00000064,CU000013,PH000016,PL0005,2022/5/10,2022/6/6
SU00000065,CU000013,PH000016,PL0005,2022/6/7,2022/7/4
SU00000066,CU000013,PH000016,PL0006,2022/7/5,2023/7/4
SU00000067,CU000013,PH000016,PL0006,2023/7/5,2024/7/3
SU00000068,CU000013,PH000016,PL0006,2024/7/4,2025/7/3
SU00000069,CU000014,PH000017,PL0004,2022/1/18,2023/1/17
SU00000070,CU000014,PH000017,PL0006,2023/1/18,2024/1/17
SU00000071,CU000014,PH000017,PL0006,2024/1/18,2025/1/16
SU00000072,CU000014,PH000018,PL0002,2022/4/3,2023/4/2
SU00000073,CU000014,PH000018,PL0002,2023/4/3,2024/4/1
SU00000074,CU000015,PH000019,PL0001,2022/1/5,2022/2/1
SU00000075,CU000015,PH000019,PL0002,2022/2/2,2023/2/1
SU00000076,CU000015,PH000019,PL0004,2023/2/2,2024/2/1
SU00000077,CU000015,PH000019,PL0004,2024/2/2,2025/1/31
SU00000078,CU000015,PH000019,PL0006,2025/2/1,2026/1/31
SU00000079,CU000015,PH000020,PL0002,2022/3/31,2023/3/30
SU00000080,CU000015,PH000020,PL0004,2023/3/31,2024/3/29
SU00000081,CU000015,PH000020,PL0004,2024/3/30,2025/3/29
SU00000082,CU000015,PH000021,PL0002,2022/6/22,2023/6/21
SU00000083,CU000015,PH000021,PL0002,2023/6/22,2024/6/20
SU00000084,CU000015,PH000021,PL0002,2024/6/21,2025/6/20
SU00000085,CU000016,PH000022,PL0005,2022/1/5,2022/2/1
SU00000086,CU000016,PH000022,PL0005,2022/2/2,2022/3/1
SU00000087,CU000016,PH000022,PL0005,2022/3/2,2022/3/29
SU00000088,CU000016,PH000022,PL0005,2022/3/30,2022/4/26
SU00000089,CU000016,PH000022,PL0005,2022/4/27,2022/5/24
SU00000090,CU000016,PH000022,PL0006,2022/5/25,2023/5/24
SU00000091,CU000016,PH000022,PL0006,2023/5/25,2024/5/23
SU00000092,CU000016,PH000022,PL0006,2024/5/24,2025/5/23
SU00000093,CU000016,PH000023,PL0002,2022/4/13,2023/4/12
SU00000094,CU000016,PH000023,PL0002,2023/4/13,2024/4/11
SU00000095,CU000016,PH000023,PL0004,2024/4/12,2025/4/11
SU00000096,CU000016,PH000024,PL0002,2022/7/4,2023/7/3
SU00000097,CU000016,PH000024,PL0004,2023/7/4,2024/7/2
SU00000098,CU000017,PH000025,PL0001,2022/1/14,2022/2/10
SU00000099,CU000017,PH000025,PL0002,2022/2/11,2023/2/10
SU00000100,CU000017,PH000025,PL0002,2023/2/11,2024/2/10
SU00000101,CU000017,PH000025,PL0002,2024/2/11,2025/2/9
SU00000102,CU000017,PH000025,PL0002,2025/2/10,2026/2/9
SU00000103,CU000018,PH000026,PL0003,2022/1/20,2022/2/16
SU00000104,CU000018,PH000026,PL0003,2022/2/17,2022/3/16
SU00000105,CU000018,PH000026,PL0003,2022/3/17,2022/4/13
SU00000106,CU000018,PH000026,PL0003,2022/4/14,2022/5/11
SU00000107,CU000018,PH000026,PL0003,2022/5/12,2022/6/8
SU00000108,CU000018,PH000026,PL0004,2022/6/9,2023/6/8
SU00000109,CU000018,PH000026,PL0006,2023/6/9,2024/6/7
SU00000110,CU000018,PH000026,PL0006,2024/6/8,2025/6/7
SU00000111,CU000018,PH000027,PL0006,2022/4/16,2023/4/15
SU00000112,CU000018,PH000027,PL0006,2023/4/16,2024/4/14
SU00000113,CU000018,PH000027,PL0006,2024/4/15,2025/4/14
SU00000114,CU000018,PH000028,PL0004,2022/7/11,2023/7/10
SU00000115,CU000018,PH000028,PL0004,2023/7/11,2024/7/9
SU00000116,CU000019,PH000029,PL0002,2022/1/5,2023/1/4
SU00000117,CU000019,PH000029,PL0002,2023/1/5,2024/1/4
SU00000118,CU000019,PH000029,PL0002,2024/1/5,2025/1/3
SU00000119,CU000020,PH000030,PL0001,2022/1/12,2022/2/8
SU00000120,CU000020,PH000030,PL0001,2022/2/9,2022/3/8
SU00000121,CU000020,PH000030,PL0001,2022/3/9,2022/4/5
SU00000122,CU000020,PH000030,PL0001,2022/4/6,2022/5/3
SU00000123,CU000020,PH000030,PL0001,2022/5/4,2022/5/31
SU00000124,CU000020,PH000030,PL0001,2022/6/1,2022/6/28
SU00000125,CU000020,PH000030,PL0001,2022/6/29,2022/7/26
SU00000126,CU000020,PH000030,PL0001,2022/7/27,2022/8/23
SU00000127,CU000020,PH000030,PL0002,2022/8/24,2023/8/23
SU00000128,CU000020,PH000030,PL0002,2023/8/24,2024/8/22
SU00000129,CU000020,PH000030,PL0002,2024/8/23,2025/8/22
SU00000130,CU000020,PH000031,PL0001,2022/6/6,2022/7/3
SU00000131,CU000020,PH000031,PL0002,2022/7/4,2023/7/3
SU00000132,CU000020,PH000031,PL0002,2023/7/4,2024/7/2
SU00000133,CU000020,PH000031,PL0004,2024/7/3,2025/7/2
SU00000134,CU000021,PH000032,PL0002,2022/1/13,2023/1/12
SU00000135,CU000021,PH000032,PL0002,2023/1/13,2024/1/12
SU00000136,CU000021,PH000032,PL0002,2024/1/13,2025/1/11
SU00000137,CU000022,PH000033,PL0002,2022/1/19,2023/1/18
SU00000138,CU000022,PH000033,PL0002,2023/1/19,2024/1/18
SU00000139,CU000022,PH000033,PL0002,2024/1/19,2025/1/17
SU00000140,CU000023,PH000034,PL0003,2022/1/23,2022/2/19
SU00000141,CU000023,PH000034,PL0003,2022/2/20,2022/3/19
SU00000142,CU000023,PH000034,PL0004,2022/3/20,2023/3/19
SU00000143,CU000023,PH000034,PL0004,2023/3/20,2024/3/18
SU00000144,CU000023,PH000034,PL0004,2024/3/19,2025/3/18
SU00000145,CU000024,PH000035,PL0001,2022/1/17,2022/2/13
SU00000146,CU000024,PH000035,PL0001,2022/2/14,2022/3/13
SU00000147,CU000024,PH000035,PL0001,2022/3/14,2022/4/10
SU00000148,CU000024,PH000035,PL0001,2022/4/11,2022/5/8
SU00000149,CU000024,PH000035,PL0001,2022/5/9,2022/6/5
SU00000150,CU000024,PH000035,PL0002,2022/6/6,2023/6/5
SU00000151,CU000024,PH000035,PL0004,2023/6/6,2024/6/4
SU00000152,CU000024,PH000035,PL0006,2024/6/5,2025/6/4
SU00000153,CU000025,PH000036,PL0001,2022/1/7,2022/2/3
SU00000154,CU000025,PH000036,PL0001,2022/2/4,2022/3/3
SU00000155,CU000025,PH000036,PL0001,2022/3/4,2022/3/31
SU00000156,CU000025,PH000036,PL0001,2022/4/1,2022/4/28
SU00000157,CU000025,PH000036,PL0001,2022/4/29,2022/5/26
SU00000158,CU000025,PH000036,PL0002,2022/5/27,2023/5/26
SU00000159,CU000025,PH000036,PL0004,2023/5/27,2024/5/25
SU00000160,CU000025,PH000036,PL0006,2024/5/26,2025/5/25
SU00000161,CU000026,PH000037,PL0002,2022/1/10,2023/1/9
SU00000162,CU000026,PH000037,PL0002,2023/1/10,2024/1/9
SU00000163,CU000026,PH000037,PL0004,2024/1/10,2025/1/8
SU00000164,CU000027,PH000038,PL0003,2022/1/16,2022/2/12
SU00000165,CU000027,PH000038,PL0003,2022/2/13,2022/3/12
SU00000166,CU000027,PH000038,PL0003,2022/3/13,2022/4/9
SU00000167,CU000027,PH000038,PL0003,2022/4/10,2022/5/7
SU00000168,CU000027,PH000038,PL0003,2022/5/8,2022/6/4
SU00000169,CU000027,PH000038,PL0003,2022/6/5,2022/7/2
SU00000170,CU000027,PH000038,PL0003,2022/7/3,2022/7/30
SU00000171,CU000027,PH000038,PL0003,2022/7/31,2022/8/27
SU00000172,CU000027,PH000038,PL0003,2022/8/28,2022/9/24
SU00000173,CU000027,PH000038,PL0003,2022/9/25,2022/10/22
SU00000174,CU000027,PH000038,PL0003,2022/10/23,2022/11/19
SU00000175,CU000027,PH000038,PL0003,2022/11/20,2022/12/17
SU00000176,CU000027,PH000038,PL0003,2022/12/18,2023/1/14
SU00000177,CU000027,PH000038,PL0003,2023/1/15,2023/2/11
SU00000178,CU000027,PH000038,PL0003,2023/2/12,2023/3/11
SU00000179,CU000027,PH000038,PL0003,2023/3/12,2023/4/8
SU00000180,CU000027,PH000038,PL0003,2023/4/9,2023/5/6
SU00000181,CU000027,PH000038,PL0003,2023/5/7,2023/6/3
SU00000182,CU000027,PH000038,PL0004,2023/6/4,2024/6/2
SU00000183,CU000027,PH000038,PL0004,2024/6/3,2025/6/2
SU00000184,CU000028,PH000039,PL0004,2022/1/8,2023/1/7
SU00000185,CU000028,PH000039,PL0004,2023/1/8,2024/1/7
SU00000186,CU000028,PH000039,PL0004,2024/1/8,2025/1/6
SU00000187,CU000029,PH000040,PL0004,2022/1/20,2023/1/19
SU00000188,CU000029,PH000040,PL0004,2023/1/20,2024/1/19
SU00000189,CU000029,PH000040,PL0004,2024/1/20,2025/1/18
SU00000190,CU000030,PH000041,PL0004,2022/1/1,2022/12/31
SU00000191,CU000030,PH000041,PL0004,2023/1/1,2023/12/31
SU00000192,CU000030,PH000041,PL0004,2024/1/1,2024/12/30
SU00000193,CU000030,PH000041,PL0004,2024/12/31,2025/12/30
SU00000194,CU000031,PH000042,PL0005,2022/1/26,2022/2/22
SU00000195,CU000031,PH000042,PL0005,2022/2/23,2022/3/22
SU00000196,CU000031,PH000042,PL0005,2022/3/23,2022/4/19
SU00000197,CU000031,PH000042,PL0005,2022/4/20,2022/5/17
SU00000198,CU000031,PH000042,PL0005,2022/5/18,2022/6/14
SU00000199,CU000031,PH000042,PL0005,2022/6/15,2022/7/12
SU00000200,CU000031,PH000042,PL0005,2022/7/13,2022/8/9
SU00000201,CU000031,PH000042,PL0006,2022/8/10,2023/8/9
SU00000202,CU000031,PH000042,PL0006,2023/8/10,2024/8/8
SU00000203,CU000031,PH000042,PL0006,2024/8/9,2025/8/8
SU00000204,CU000032,PH000043,PL0002,2022/1/28,2023/1/27
SU00000205,CU000032,PH000043,PL0004,2023/1/28,2024/1/27
SU00000206,CU000032,PH000043,PL0004,2024/1/28,2025/1/26
SU00000207,CU000033,PH000044,PL0002,2022/1/14,2023/1/13
SU00000208,CU000033,PH000044,PL0002,2023/1/14,2024/1/13
SU00000209,CU000033,PH000044,PL0004,2024/1/14,2025/1/12
SU00000210,CU000034,PH000045,PL0003,2022/1/19,2022/2/15
SU00000211,CU000034,PH000045,PL0003,2022/2/16,2022/3/15
SU00000212,CU000034,PH000045,PL0004,2022/3/16,2023/3/15
SU00000213,CU000034,PH000045,PL0004,2023/3/16,2024/3/14
SU00000214,CU000034,PH000045,PL0004,2024/3/15,2025/3/14
SU00000215,CU000035,PH000046,PL0004,2022/1/8,2023/1/7
SU00000216,CU000035,PH000046,PL0004,2023/1/8,2024/1/7
SU00000217,CU000035,PH000046,PL0004,2024/1/8,2025/1/6
SU00000218,CU000036,PH000047,PL0002,2022/1/17,2023/1/16
SU00000219,CU000036,PH000047,PL0002,2023/1/17,2024/1/16
SU00000220,CU000036,PH000047,PL0004,2024/1/17,2025/1/15
SU00000221,CU000037,PH000048,PL0002,2022/1/23,2023/1/22
SU00000222,CU000037,PH000048,PL0004,2023/1/23,2024/1/22
SU00000223,CU000037,PH000048,PL0004,2024/1/23,2025/1/21
SU00000224,CU000038,PH000049,PL0001,2022/1/1,2022/1/28
SU00000225,CU000038,PH000049,PL0001,2022/1/29,2022/2/25
SU00000226,CU000038,PH000049,PL0001,2022/2/26,2022/3/25
SU00000227,CU000038,PH000049,PL0002,2022/3/26,2023/3/25
SU00000228,CU000038,PH000049,PL0004,2023/3/26,2024/3/24
SU00000229,CU000038,PH000049,PL0004,2024/3/25,2025/3/24
SU00000230,CU000039,PH000050,PL0004,2022/1/12,2023/1/11
SU00000231,CU000039,PH000050,PL0004,2023/1/12,2024/1/11
SU00000232,CU000039,PH000050,PL0004,2024/1/12,2025/1/10
SU00000233,CU000040,PH000051,PL0001,2022/1/28,2022/2/24
SU00000234,CU000040,PH000051,PL0001,2022/2/25,2022/3/24
SU00000235,CU000040,PH000051,PL0001,2022/3/25,2022/4/21
SU00000236,CU000040,PH000051,PL0001,2022/4/22,2022/5/19
SU00000237,CU000040,PH000051,PL0001,2022/5/20,2022/6/16
SU00000238,CU000040,PH000051,PL0001,2022/6/17,2022/7/14
SU00000239,CU000040,PH000051,PL0001,2022/7/15,2022/8/11
SU00000240,CU000040,PH000051,PL0002,2022/8/12,2023/8/11
SU00000241,CU000040,PH000051,PL0002,2023/8/12,2024/8/10
SU00000242,CU000040,PH000051,PL0002,2024/8/11,2025/8/10
SU00000243,CU000041,PH000052,PL0005,2022/1/29,2022/2/25
SU00000244,CU000041,PH000052,PL0005,2022/2/26,2022/3/25
SU00000245,CU000041,PH000052,PL0005,2022/3/26,2022/4/22
SU00000246,CU000041,PH000052,PL0005,2022/4/23,2022/5/20
SU00000247,CU000041,PH000052,PL0005,2022/5/21,2022/6/17
SU00000248,CU000041,PH000052,PL0005,2022/6/18,2022/7/15
SU00000249,CU000041,PH000052,PL0006,2022/7/16,2023/7/15
SU00000250,CU000041,PH000052,PL0006,2023/7/16,2024/7/14
SU00000251,CU000041,PH000052,PL0006,2024/7/15,2025/7/14
SU00000252,CU000042,PH000053,PL0005,2022/1/1,2022/1/28
SU00000253,CU000042,PH000053,PL0005,2022/1/29,2022/2/25
SU00000254,CU000042,PH000053,PL0006,2022/2/26,2023/2/25
SU00000255,CU000042,PH000053,PL0006,2023/2/26,2024/2/25
SU00000256,CU000042,PH000053,PL0006,2024/2/26,2025/2/24
SU00000257,CU000042,PH000053,PL0006,2025/2/25,2026/2/24
SU00000258,CU000043,PH000054,PL0006,2022/1/24,2023/1/23
SU00000259,CU000043,PH000054,PL0006,2023/1/24,2024/1/23
SU00000260,CU000043,PH000054,PL0006,2024/1/24,2025/1/22
SU00000261,CU000044,PH000055,PL0006,2022/1/13,2023/1/12
SU00000262,CU000044,PH000055,PL0006,2023/1/13,2024/1/12
SU00000263,CU000044,PH000055,PL0006,2024/1/13,2025/1/11
SU00000264,CU000045,PH000056,PL0001,2022/1/8,2022/2/4
SU00000265,CU000045,PH000056,PL0002,2022/2/5,2023/2/4
SU00000266,CU000045,PH000056,PL0002,2023/2/5,2024/2/4
SU00000267,CU000045,PH000056,PL0004,2024/2/5,2025/2/3
SU00000268,CU000045,PH000056,PL0006,2025/2/4,2026/2/3
SU00000269,CU000046,PH000057,PL0002,2022/1/4,2023/1/3
SU00000270,CU000046,PH000057,PL0002,2023/1/4,2024/1/3
SU00000271,CU000046,PH000057,PL0002,2024/1/4,2025/1/2
SU00000272,CU000046,PH000058,PL0002,2022/6/18,2023/6/17
SU00000273,CU000046,PH000058,PL0002,2023/6/18,2024/6/16
SU00000274,CU000046,PH000059,PL0005,2022/9/5,2022/10/2
SU00000275,CU000046,PH000059,PL0005,2022/10/3,2022/10/30
SU00000276,CU000046,PH000059,PL0005,2022/10/31,2022/11/27
SU00000277,CU000046,PH000059,PL0006,2022/11/28,2023/11/27
SU00000278,CU000046,PH000059,PL0006,2023/11/28,2024/11/26
SU00000279,CU000046,PH000059,PL0006,2024/11/27,2025/11/26
SU00000280,CU000047,PH000060,PL0002,2022/1/5,2023/1/4
SU00000281,CU000047,PH000060,PL0002,2023/1/5,2024/1/4
SU00000282,CU000047,PH000060,PL0002,2024/1/5,2025/1/3
SU00000283,CU000048,PH000061,PL0003,2022/1/1,2022/1/28
SU00000284,CU000048,PH000061,PL0003,2022/1/29,2022/2/25
SU00000285,CU000048,PH000061,PL0003,2022/2/26,2022/3/25
SU00000286,CU000048,PH000061,PL0003,2022/3/26,2022/4/22
SU00000287,CU000048,PH000061,PL0003,2022/4/23,2022/5/20
SU00000288,CU000048,PH000061,PL0003,2022/5/21,2022/6/17
SU00000289,CU000048,PH000061,PL0004,2022/6/18,2023/6/17
SU00000290,CU000048,PH000061,PL0004,2023/6/18,2024/6/16
SU00000291,CU000048,PH000061,PL0004,2024/6/17,2025/6/16
SU00000292,CU000048,PH000062,PL0001,2022/4/26,2022/5/23
SU00000293,CU000048,PH000062,PL0002,2022/5/24,2023/5/23
SU00000294,CU000048,PH000062,PL0004,2023/5/24,2024/5/22
SU00000295,CU000048,PH000062,PL0006,2024/5/23,2025/5/22
SU00000296,CU000049,PH000063,PL0004,2022/1/13,2023/1/12
SU00000297,CU000049,PH000063,PL0004,2023/1/13,2024/1/12
SU00000298,CU000049,PH000063,PL0006,2024/1/13,2025/1/11
SU00000299,CU000049,PH000064,PL0001,2022/6/18,2022/7/15
SU00000300,CU000049,PH000064,PL0001,2022/7/16,2022/8/12
SU00000301,CU000049,PH000064,PL0001,2022/8/13,2022/9/9
SU00000302,CU000049,PH000064,PL0001,2022/9/10,2022/10/7
SU00000303,CU000049,PH000064,PL0001,2022/10/8,2022/11/4
SU00000304,CU000049,PH000064,PL0001,2022/11/5,2022/12/2
SU00000305,CU000049,PH000064,PL0001,2022/12/3,2022/12/30
SU00000306,CU000049,PH000064,PL0001,2022/12/31,2023/1/27
SU00000307,CU000049,PH000064,PL0002,2023/1/28,2024/1/27
SU00000308,CU000049,PH000064,PL0004,2024/1/28,2025/1/26
SU00000309,CU000049,PH000064,PL0004,2025/1/27,2026/1/26
SU00000310,CU000050,PH000065,PL0006,2022/1/21,2023/1/20
SU00000311,CU000050,PH000065,PL0006,2023/1/21,2024/1/20
SU00000312,CU000050,PH000065,PL0006,2024/1/21,2025/1/19
SU00000313,CU000051,PH000066,PL0003,2022/1/6,2022/2/2
SU00000314,CU000051,PH000066,PL0004,2022/2/3,2023/2/2
SU00000315,CU000051,PH000066,PL0004,2023/2/3,2024/2/2
SU00000316,CU000051,PH000066,PL0004,2024/2/3,2025/2/1
SU00000317,CU000051,PH000066,PL0004,2025/2/2,2026/2/1
SU00000318,CU000051,PH000067,PL0006,2022/2/25,2023/2/24
SU00000319,CU000051,PH000067,PL0006,2023/2/25,2024/2/24
SU00000320,CU000051,PH000067,PL0006,2024/2/25,2025/2/23
SU00000321,CU000052,PH000068,PL0004,2022/1/2,2023/1/1
SU00000322,CU000052,PH000068,PL0006,2023/1/2,2024/1/1
SU00000323,CU000052,PH000068,PL0006,2024/1/2,2024/12/31
SU00000324,CU000052,PH000068,PL0006,2025/1/1,2025/12/31
SU00000325,CU000053,PH000069,PL0002,2022/1/1,2022/12/31
SU00000326,CU000053,PH000069,PL0002,2023/1/1,2023/12/31
SU00000327,CU000053,PH000069,PL0002,2024/1/1,2024/12/30
SU00000328,CU000054,PH000070,PL0003,2022/1/16,2022/2/12
SU00000329,CU000054,PH000070,PL0003,2022/2/13,2022/3/12
SU00000330,CU000054,PH000070,PL0003,2022/3/13,2022/4/9
SU00000331,CU000054,PH000070,PL0003,2022/4/10,2022/5/7
SU00000332,CU000054,PH000070,PL0003,2022/5/8,2022/6/4
SU00000333,CU000054,PH000070,PL0004,2022/6/5,2023/6/4
SU00000334,CU000054,PH000070,PL0004,2023/6/5,2024/6/3
SU00000335,CU000054,PH000070,PL0004,2024/6/4,2025/6/3
SU00000336,CU000055,PH000071,PL0003,2022/1/21,2022/2/17
SU00000337,CU000055,PH000071,PL0003,2022/2/18,2022/3/17
SU00000338,CU000055,PH000071,PL0003,2022/3/18,2022/4/14
SU00000339,CU000055,PH000071,PL0003,2022/4/15,2022/5/12
SU00000340,CU000055,PH000071,PL0003,2022/5/13,2022/6/9
SU00000341,CU000055,PH000071,PL0003,2022/6/10,2022/7/7
SU00000342,CU000055,PH000071,PL0004,2022/7/8,2023/7/7
SU00000343,CU000055,PH000071,PL0004,2023/7/8,2024/7/6
SU00000344,CU000055,PH000071,PL0006,2024/7/7,2025/7/6
SU00000345,CU000055,PH000072,PL0002,2022/6/10,2023/6/9
SU00000346,CU000055,PH000072,PL0002,2023/6/10,2024/6/8
SU00000347,CU000055,PH000072,PL0004,2024/6/9,2025/6/8
SU00000348,CU000055,PH000073,PL0004,2022/8/9,2023/8/8
SU00000349,CU000055,PH000073,PL0004,2023/8/9,2024/8/7
SU00000350,CU000055,PH000073,PL0004,2024/8/8,2025/8/7
SU00000351,CU000056,PH000074,PL0002,2022/1/14,2023/1/13
SU00000352,CU000056,PH000074,PL0002,2023/1/14,2024/1/13
SU00000353,CU000056,PH000074,PL0004,2024/1/14,2025/1/12
SU00000354,CU000057,PH000075,PL0001,2022/1/11,2022/2/7
SU00000355,CU000057,PH000075,PL0001,2022/2/8,2022/3/7
SU00000356,CU000057,PH000075,PL0001,2022/3/8,2022/4/4
SU00000357,CU000057,PH000075,PL0001,2022/4/5,2022/5/2
SU00000358,CU000057,PH000075,PL0001,2022/5/3,2022/5/30
SU00000359,CU000057,PH000075,PL0001,2022/5/31,2022/6/27
SU00000360,CU000057,PH000075,PL0001,2022/6/28,2022/7/25
SU00000361,CU000057,PH000075,PL0001,2022/7/26,2022/8/22
SU00000362,CU000057,PH000075,PL0001,2022/8/23,2022/9/19
SU00000363,CU000057,PH000075,PL0001,2022/9/20,2022/10/17
SU00000364,CU000057,PH000075,PL0001,2022/10/18,2022/11/14
SU00000365,CU000057,PH000075,PL0001,2022/11/15,2022/12/12
SU00000366,CU000057,PH000075,PL0001,2022/12/13,2023/1/9
SU00000367,CU000057,PH000075,PL0001,2023/1/10,2023/2/6
SU00000368,CU000057,PH000075,PL0001,2023/2/7,2023/3/6
SU00000369,CU000057,PH000075,PL0001,2023/3/7,2023/4/3
SU00000370,CU000057,PH000075,PL0001,2023/4/4,2023/5/1
SU00000371,CU000057,PH000075,PL0002,2023/5/2,2024/4/30
SU00000372,CU000057,PH000075,PL0002,2024/5/1,2025/4/30
SU00000373,CU000058,PH000076,PL0002,2022/1/23,2023/1/22
SU00000374,CU000058,PH000076,PL0002,2023/1/23,2024/1/22
SU00000375,CU000058,PH000076,PL0002,2024/1/23,2025/1/21
SU00000376,CU000058,PH000077,PL0002,2022/3/21,2023/3/20
SU00000377,CU000058,PH000077,PL0004,2023/3/21,2024/3/19
SU00000378,CU000058,PH000077,PL0004,2024/3/20,2025/3/19
SU00000379,CU000059,PH000078,PL0006,2022/1/9,2023/1/8
SU00000380,CU000059,PH000078,PL0006,2023/1/9,2024/1/8
SU00000381,CU000059,PH000078,PL0006,2024/1/9,2025/1/7
SU00000382,CU000059,PH000079,PL0004,2022/6/12,2023/6/11
SU00000383,CU000059,PH000079,PL0004,2023/6/12,2024/6/10
SU00000384,CU000059,PH000079,PL0004,2024/6/11,2025/6/10
SU00000385,CU000060,PH000080,PL0004,2022/1/1,2022/12/31
SU00000386,CU000060,PH000080,PL0004,2023/1/1,2023/12/31
SU00000387,CU000060,PH000080,PL0004,2024/1/1,2024/12/30
SU00000388,CU000060,PH000080,PL0004,2024/12/31,2025/12/30
SU00000389,CU000060,PH000081,PL0003,2022/4/1,2022/4/28
SU00000390,CU000060,PH000081,PL0004,2022/4/29,2023/4/28
SU00000391,CU000060,PH000081,PL0004,2023/4/29,2024/4/27
SU00000392,CU000060,PH000081,PL0006,2024/4/28,2025/4/27
SU00000393,CU000060,PH000082,PL0002,2022/6/21,2023/6/20
SU00000394,CU000060,PH000082,PL0002,2023/6/21,2024/6/19
SU00000395,CU000061,PH000083,PL0003,2022/1/5,2022/2/1
SU00000396,CU000061,PH000083,PL0003,2022/2/2,2022/3/1
SU00000397,CU000061,PH000083,PL0003,2022/3/2,2022/3/29
SU00000398,CU000061,PH000083,PL0004,2022/3/30,2023/3/29
