request_id,customer_id,open_time,closed_time,request_type,csr_id
RQ00000046,CU000496,2024-05-04 07:17:00,2024-05-08 01:47:30.817460,Technical Support,CSR007
RQ00000047,CU001325,2024-02-03 07:50:00,2024-02-06 08:19:18.742434,Technical Support,CSR001
RQ00000048,CU001039,2024-01-25 21:21:00,2024-01-26 00:13:00.140132,Service & Account Management,CSR003
RQ00000049,CU000871,2024-09-04 20:21:00,2024-09-04 21:25:01.845034,Service & Account Management,CSR006
RQ00000050,CU000250,2024-08-27 19:16:00,2024-08-27 20:59:23.317190,General Inquiry,CSR012
RQ00000051,CU001991,2024-07-16 21:25:00,2024-07-18 13:03:18.749208,Security & Fraud,CSR005
RQ00000052,CU000326,2024-06-07 16:52:00,2024-06-07 20:14:45.129130,Service & Account Management,CSR007
RQ00000053,CU000461,2024-12-15 19:05:00,2024-12-17 12:40:14.042505,Security & Fraud,CSR007
RQ00000054,CU000902,2024-10-18 02:02:00,2024-10-18 03:13:22.106960,General Inquiry,CSR013
RQ00000055,CU002417,2024-02-07 09:57:00,2024-02-08 01:21:20.541599,Billing & Payments,CSR001
RQ00000056,CU001481,2024-06-28 03:18:00,2024-07-02 03:24:47.406361,Technical Support,CSR009
RQ00000057,CU002493,2024-06-27 10:37:00,2024-06-27 16:05:06.835840,Service & Account Management,CSR006
RQ00000058,CU000059,2024-06-01 07:17:00,2024-06-01 07:55:11.798550,General Inquiry,CSR015
RQ00000059,CU001820,2024-08-05 08:23:00,2024-08-11 02:15:42.250694,Technical Support,CSR003
RQ00000060,CU001730,2024-01-05 18:30:00,2024-01-05 21:43:47.803052,Service & Account Management,CSR001
RQ00000061,CU000522,2024-11-26 00:27:00,2024-11-26 03:08:23.307014,Service & Account Management,CSR007
RQ00000062,CU000541,2024-11-25 22:08:00,2024-11-25 22:21:03.212517,General Inquiry,CSR008
RQ00000063,CU001614,2024-10-26 10:24:00,2024-10-27 06:15:12.185428,Security & Fraud,CSR015
RQ00000064,CU000045,2024-08-26 11:22:00,2024-08-31 08:40:28.491415,Technical Support,CSR004
RQ00000065,CU002392,2024-06-28 23:09:00,2024-06-29 03:31:54.593791,Service & Account Management,CSR009
RQ00000066,CU001126,2024-04-28 07:48:00,2024-04-28 13:44:23.703003,Service & Account Management,CSR014
RQ00000067,CU000997,2024-12-19 18:30:00,2024-12-19 22:35:25.009074,Service & Account Management,CSR008
RQ00000068,CU000870,2024-11-28 04:29:00,2024-11-28 07:17:15.945264,Service & Account Management,CSR012
RQ00000069,CU001458,2024-01-08 03:16:00,2024-01-08 07:28:05.318446,Service & Account Management,CSR012
RQ00000070,CU000144,2024-11-26 22:31:00,2024-11-27 04:30:20.094109,Service & Account Management,CSR001
RQ00000071,CU000440,2024-05-26 04:37:00,2024-05-26 05:38:53.271405,Service & Account Management,CSR013
RQ00000072,CU001317,2024-04-02 16:47:00,2024-04-02 20:22:26.945873,Service & Account Management,CSR011
RQ00000073,CU000626,2024-12-20 03:11:00,2024-12-23 14:16:54.287437,Technical Support,CSR014
RQ00000074,CU000462,2024-09-01 14:08:00,2024-09-02 00:12:54.948012,Technical Support,CSR003
RQ00000075,CU002363,2024-06-25 13:47:00,2024-06-25 15:32:15.961771,Service & Account Management,CSR008
RQ00000076,CU001080,2024-09-13 08:43:00,2024-09-13 14:36:33.928313,Service & Account Management,CSR009
RQ00000077,CU002111,2024-10-02 19:04:00,2024-10-02 20:04:53.347465,General Inquiry,CSR011
RQ00000078,CU001493,2024-01-11 04:29:00,2024-01-12 23:19:10.807950,Technical Support,CSR001
RQ00000079,CU000566,2024-04-12 08:46:00,2024-04-12 11:58:16.795140,Service & Account Management,CSR013
RQ00000080,CU001838,2024-10-07 02:55:00,2024-10-07 03:26:04.768161,General Inquiry,CSR011
RQ00000081,CU001006,2024-09-22 17:53:00,2024-09-22 21:20:01.656449,Service & Account Management,CSR003
RQ00000082,CU000409,2024-02-25 22:32:00,2024-02-26 22:39:26.683621,Security & Fraud,CSR001
RQ00000083,CU001579,2024-12-07 07:15:00,2024-12-08 07:57:57.969472,Security & Fraud,CSR004
RQ00000084,CU002178,2024-04-15 14:16:00,2024-04-15 15:34:02.479644,General Inquiry,CSR011
RQ00000085,CU000838,2024-11-28 16:56:00,2024-11-28 18:40:48.466971,General Inquiry,CSR014
RQ00000086,CU001652,2024-07-02 17:06:00,2024-07-04 00:11:30.699460,Security & Fraud,CSR012
RQ00000087,CU001825,2024-11-05 12:29:00,2024-11-05 23:56:06.473097,Security & Fraud,CSR003
RQ00000088,CU000192,2024-11-15 22:07:00,2024-11-17 23:31:27.809268,Technical Support,CSR007
RQ00000089,CU001238,2024-04-28 12:18:00,2024-05-01 22:00:03.681473,Technical Support,CSR014
RQ00000090,CU001606,2024-03-06 23:07:00,2024-03-07 01:06:40.714899,General Inquiry,CSR012
RQ00000091,CU001397,2024-12-25 19:33:00,2024-12-26 01:43:24.890761,Security & Fraud,CSR001
RQ00000092,CU001449,2024-04-04 06:06:00,2024-04-04 10:42:49.932881,Service & Account Management,CSR003
RQ00000093,CU000984,2024-12-13 22:37:00,2024-12-14 03:21:39.798410,Service & Account Management,CSR009
RQ00000094,CU000924,2024-03-02 09:20:00,2024-03-02 22:34:27.917969,Technical Support,CSR009
RQ00000095,CU001037,2024-12-02 22:03:00,2024-12-03 02:08:12.941770,Service & Account Management,CSR004
RQ00000096,CU001467,2024-07-28 00:15:00,2024-07-28 02:43:24.768206,Service & Account Management,CSR005
RQ00000097,CU002160,2024-07-28 13:48:00,2024-07-31 04:15:18.854644,Technical Support,CSR005
RQ00000098,CU002156,2024-12-22 02:15:00,2024-12-23 11:15:53.654016,Technical Support,CSR006
RQ00000099,CU000748,2024-09-21 10:45:00,2024-09-21 11:38:57.229565,General Inquiry,CSR003
RQ00000100,CU000966,2024-07-25 00:52:00,2024-07-25 02:32:13.675782,Service & Account Management,CSR014
RQ00000101,CU002471,2024-06-08 23:24:00,2024-06-09 04:56:38.933380,Service & Account Management,CSR010
RQ00000102,CU000442,2024-03-10 19:07:00,2024-03-10 20:28:26.373332,General Inquiry,CSR006
RQ00000103,CU000860,2024-12-03 05:32:00,2024-12-03 05:49:31.676284,General Inquiry,CSR014
RQ00000104,CU000326,2024-04-19 13:59:00,2024-04-19 19:28:31.662517,Service & Account Management,CSR013
RQ00000105,CU001351,2024-03-26 20:17:00,2024-03-27 00:42:57.360299,Service & Account Management,CSR015
RQ00000106,CU000777,2024-05-08 04:32:00,2024-05-08 06:07:23.237714,General Inquiry,CSR003
RQ00000107,CU001459,2024-09-05 02:25:00,2024-09-05 20:31:02.324822,Security & Fraud,CSR004
RQ00000108,CU000008,2024-11-28 12:57:00,2024-12-02 04:47:29.917609,Technical Support,CSR007
RQ00000109,CU000240,2024-07-01 06:58:00,2024-07-01 07:50:48.629760,Service & Account Management,CSR001
RQ00000110,CU000019,2024-02-02 10:34:00,2024-02-02 12:12:50.148915,General Inquiry,CSR008
RQ00000111,CU000440,2024-04-07 07:02:00,2024-04-08 21:16:33.627130,Security & Fraud,CSR009
RQ00000112,CU000028,2024-08-13 22:37:00,2024-08-14 02:50:10.885207,Service & Account Management,CSR008
RQ00000113,CU000677,2024-11-04 23:25:00,2024-11-05 01:25:53.722537,Service & Account Management,CSR013
RQ00000114,CU002089,2024-06-27 01:04:00,2024-06-29 17:37:40.850546,Technical Support,CSR002
RQ00000115,CU002228,2024-01-04 19:15:00,2024-01-04 23:17:44.671891,Service & Account Management,CSR004
RQ00000116,CU000282,2024-07-19 05:56:00,2024-07-20 00:54:23.283319,Billing & Payments,CSR002
RQ00000117,CU001831,2024-06-19 05:08:00,2024-06-22 16:04:30.530751,Technical Support,CSR002
RQ00000118,CU002184,2024-01-28 16:50:00,2024-01-28 18:23:42.004853,General Inquiry,CSR001
RQ00000119,CU000855,2024-06-28 07:25:00,2024-06-28 16:34:13.413780,Billing & Payments,CSR013
RQ00000120,CU001465,2024-02-12 14:16:00,2024-02-12 18:29:48.193353,Service & Account Management,CSR007
RQ00000121,CU002032,2024-05-27 14:40:00,2024-05-27 16:27:00.217620,General Inquiry,CSR011
RQ00000122,CU000200,2024-01-25 09:32:00,2024-01-25 09:57:02.895309,General Inquiry,CSR008
RQ00000123,CU001332,2024-07-17 13:26:00,2024-07-17 19:21:01.877057,Service & Account Management,CSR013
RQ00000124,CU000284,2024-10-26 07:43:00,2024-10-26 12:47:28.737579,Service & Account Management,CSR006
RQ00000125,CU002328,2024-03-21 06:14:00,2024-03-21 08:07:42.533867,General Inquiry,CSR002
RQ00000126,CU001988,2024-08-23 01:54:00,2024-08-23 02:20:41.963791,General Inquiry,CSR013
RQ00000127,CU000929,2024-07-18 09:55:00,2024-07-18 15:53:36.474253,Service & Account Management,CSR004
RQ00000128,CU002103,2024-09-01 23:05:00,2024-09-02 03:17:44.940116,Service & Account Management,CSR007
RQ00000129,CU002182,2024-05-05 20:51:00,2024-05-07 11:27:39.360550,Security & Fraud,CSR001
RQ00000130,CU001260,2024-07-28 10:26:00,2024-07-28 15:19:58.826915,Service & Account Management,CSR011
RQ00000131,CU001583,2024-10-08 00:58:00,2024-10-08 02:32:36.413963,General Inquiry,CSR015
RQ00000132,CU000700,2024-11-18 19:56:00,2024-11-18 20:57:09.676000,General Inquiry,CSR005
RQ00000133,CU000673,2024-07-27 12:18:00,2024-07-28 04:28:32.685238,Security & Fraud,CSR010
RQ00000134,CU000317,2024-04-02 06:03:00,2024-04-02 08:37:27.353197,Service & Account Management,CSR013
RQ00000135,CU000665,2024-03-27 08:51:00,2024-03-27 13:30:04.294943,Service & Account Management,CSR007
RQ00000136,CU001937,2024-11-01 10:26:00,2024-11-01 13:11:54.403461,Service & Account Management,CSR013
RQ00000137,CU001052,2024-01-27 01:40:00,2024-01-27 01:51:30.073759,General Inquiry,CSR008
RQ00000138,CU002236,2024-07-19 04:47:00,2024-07-19 08:17:25.582752,Service & Account Management,CSR013
RQ00000139,CU001374,2024-07-01 22:01:00,2024-07-02 02:05:55.022743,Service & Account Management,CSR008
RQ00000140,CU001372,2024-04-26 07:44:00,2024-04-26 10:37:54.759291,Service & Account Management,CSR013
RQ00000141,CU000219,2024-06-07 22:08:00,2024-06-07 23:48:26.930995,General Inquiry,CSR007
RQ00000142,CU002459,2024-07-27 03:16:00,2024-07-31 04:25:15.969098,Technical Support,CSR009
RQ00000143,CU001378,2024-01-28 10:17:00,2024-01-29 01:24:49.910278,Security & Fraud,CSR013
RQ00000144,CU000941,2024-09-25 08:48:00,2024-09-25 10:06:24.747529,Service & Account Management,CSR002
RQ00000145,CU001573,2024-10-21 22:25:00,2024-10-22 05:38:40.660512,Billing & Payments,CSR008
RQ00000146,CU000269,2024-03-28 17:10:00,2024-03-29 22:51:09.526447,Security & Fraud,CSR009
RQ00000147,CU001213,2024-04-05 17:06:00,2024-04-05 19:11:06.330250,Service & Account Management,CSR002
RQ00000148,CU002176,2024-08-03 06:30:00,2024-08-03 07:15:19.025681,General Inquiry,CSR002
RQ00000149,CU001230,2024-06-20 11:20:00,2024-06-20 16:12:18.556751,Service & Account Management,CSR013
RQ00000150,CU000075,2024-07-25 01:16:00,2024-07-26 00:43:07.917822,Billing & Payments,CSR005
RQ00000151,CU002330,2024-02-04 10:28:00,2024-02-05 17:26:40.624117,Security & Fraud,CSR003
RQ00000152,CU001398,2024-11-26 06:46:00,2024-11-26 19:18:29.088900,Billing & Payments,CSR001
RQ00000153,CU000720,2024-04-06 08:10:00,2024-04-06 10:54:03.818635,Service & Account Management,CSR010
RQ00000154,CU001632,2024-06-10 11:12:00,2024-06-10 13:15:57.556958,Service & Account Management,CSR005
RQ00000155,CU000020,2024-03-03 17:50:00,2024-03-03 18:40:28.827034,General Inquiry,CSR004
RQ00000156,CU000245,2024-01-25 14:09:00,2024-01-26 21:25:13.036275,Security & Fraud,CSR007
RQ00000157,CU000141,2024-12-28 17:56:00,2024-12-28 19:48:56.688093,Service & Account Management,CSR004
RQ00000158,CU000930,2024-12-08 19:15:00,2024-12-08 19:30:38.645007,General Inquiry,CSR001
RQ00000159,CU000450,2024-05-26 17:41:00,2024-06-01 14:40:10.092947,Technical Support,CSR006
RQ00000160,CU001215,2024-10-26 23:38:00,2024-10-27 01:22:52.034641,General Inquiry,CSR002
RQ00000161,CU000692,2024-07-19 06:37:00,2024-07-20 20:32:50.879931,Security & Fraud,CSR013
RQ00000162,CU000933,2024-04-02 10:11:00,2024-04-02 20:49:30.326754,Security & Fraud,CSR004
RQ00000163,CU000479,2024-05-01 01:34:00,2024-05-06 13:10:58.596382,Technical Support,CSR001
RQ00000164,CU000144,2024-03-02 06:12:00,2024-03-02 07:30:27.198109,Service & Account Management,CSR013
RQ00000165,CU001589,2024-05-25 12:48:00,2024-05-25 18:32:45.344663,Service & Account Management,CSR014
RQ00000166,CU001498,2024-10-27 23:42:00,2024-10-28 00:47:07.663698,General Inquiry,CSR013
RQ00000167,CU001444,2024-08-20 16:14:00,2024-08-22 04:43:20.260451,Technical Support,CSR002
RQ00000168,CU001280,2024-11-27 01:51:00,2024-11-27 10:58:34.349138,Billing & Payments,CSR001
RQ00000169,CU001425,2024-12-05 22:03:00,2024-12-05 23:12:38.762530,General Inquiry,CSR003
RQ00000170,CU000818,2024-01-26 04:13:00,2024-01-28 09:22:12.405205,Technical Support,CSR002
RQ00000171,CU000521,2024-11-03 04:48:00,2024-11-09 13:37:08.964882,Technical Support,CSR004
RQ00000172,CU000491,2024-10-09 23:23:00,2024-10-13 23:04:55.812262,Technical Support,CSR007
RQ00000173,CU001251,2024-09-20 10:09:00,2024-09-24 10:16:38.348179,Technical Support,CSR007
RQ00000174,CU001146,2024-05-25 05:21:00,2024-05-25 07:11:45.988296,General Inquiry,CSR007
RQ00000175,CU001435,2024-10-13 06:43:00,2024-10-13 07:21:25.333593,Service & Account Management,CSR010
RQ00000176,CU002195,2024-07-12 04:08:00,2024-07-18 19:56:45.002586,Technical Support,CSR007
RQ00000177,CU002108,2024-05-03 19:59:00,2024-05-03 23:40:56.347607,Service & Account Management,CSR011
RQ00000178,CU001417,2024-10-05 22:43:00,2024-10-06 03:29:11.946125,Service & Account Management,CSR013
RQ00000179,CU000416,2024-01-26 14:23:00,2024-01-28 04:29:16.370729,Security & Fraud,CSR005
RQ00000180,CU001001,2024-07-01 03:08:00,2024-07-06 18:57:31.679910,Technical Support,CSR009
RQ00000181,CU000950,2024-02-28 19:42:00,2024-02-29 03:04:13.928468,Security & Fraud,CSR012
RQ00000182,CU001437,2024-03-16 10:42:00,2024-03-16 12:47:22.359986,Service & Account Management,CSR012
RQ00000183,CU000058,2024-11-01 20:42:00,2024-11-05 14:12:22.996029,Technical Support,CSR005
RQ00000184,CU001839,2024-10-28 06:40:00,2024-10-29 14:31:23.949537,Technical Support,CSR010
RQ00000185,CU001758,2024-01-03 07:06:00,2024-01-03 10:09:53.042186,Service & Account Management,CSR011
RQ00000186,CU001053,2024-10-02 18:12:00,2024-10-02 21:05:09.149168,Service & Account Management,CSR014
RQ00000187,CU000275,2024-06-02 21:16:00,2024-06-02 21:58:30.681275,General Inquiry,CSR001
RQ00000188,CU001160,2024-04-25 08:24:00,2024-04-25 08:48:08.233678,General Inquiry,CSR014
RQ00000189,CU000259,2024-11-26 05:42:00,2024-11-26 11:16:27.665552,Service & Account Management,CSR013
RQ00000190,CU000542,2024-02-18 08:59:00,2024-02-18 13:04:12.613491,Service & Account Management,CSR002
RQ00000191,CU002232,2024-02-11 06:53:00,2024-02-11 07:24:34.074499,General Inquiry,CSR011
RQ00000192,CU001595,2024-10-25 01:11:00,2024-10-25 03:36:19.349599,Service & Account Management,CSR003
RQ00000193,CU000288,2024-02-08 17:41:00,2024-02-08 18:09:15.618493,General Inquiry,CSR006
RQ00000194,CU001464,2024-02-17 01:35:00,2024-02-17 02:46:03.551029,General Inquiry,CSR003
RQ00000195,CU001018,2024-07-06 16:34:00,2024-07-07 03:43:54.012705,Security & Fraud,CSR012
RQ00000196,CU001091,2024-01-09 03:45:00,2024-01-09 05:23:13.781320,General Inquiry,CSR001
RQ00000197,CU000642,2024-09-25 02:57:00,2024-09-26 20:28:47.167883,Security & Fraud,CSR013
RQ00000198,CU000614,2024-03-26 17:02:00,2024-03-27 14:19:10.257644,Security & Fraud,CSR005
RQ00000199,CU000175,2024-09-08 04:40:00,2024-09-12 04:40:55.562297,Technical Support,CSR006
RQ00000200,CU000327,2024-04-18 19:04:00,2024-04-21 09:27:22.079616,Technical Support,CSR007
RQ00000201,CU001659,2024-09-02 00:15:00,2024-09-02 01:43:20.501441,General Inquiry,CSR003
RQ00000202,CU002480,2024-10-25 00:49:00,2024-10-25 08:48:55.620706,Security & Fraud,CSR009
RQ00000203,CU000744,2024-05-10 00:40:00,2024-05-10 05:12:43.636995,Service & Account Management,CSR011
RQ00000204,CU000671,2024-09-06 19:52:00,2024-09-07 08:06:14.898312,Billing & Payments,CSR002
RQ00000205,CU000391,2024-12-19 03:02:00,2024-12-24 12:27:36.371376,Technical Support,CSR007
RQ00000206,CU000290,2024-01-28 00:16:00,2024-01-28 09:42:26.254751,Security & Fraud,CSR011
RQ00000207,CU002009,2024-11-11 11:16:00,2024-11-11 13:35:34.798043,Service & Account Management,CSR010
RQ00000208,CU002476,2024-03-12 20:31:00,2024-03-16 11:24:55.500649,Technical Support,CSR002
RQ00000209,CU000767,2024-06-03 00:24:00,2024-06-09 13:21:22.417029,Technical Support,CSR005
RQ00000210,CU000491,2024-02-28 11:14:00,2024-02-28 12:48:33.976406,Service & Account Management,CSR006
RQ00000211,CU002394,2024-11-13 13:29:00,2024-11-19 03:43:57.019355,Technical Support,CSR013
RQ00000212,CU000769,2024-07-02 23:03:00,2024-07-03 01:28:42.698571,Service & Account Management,CSR013
RQ00000213,CU001950,2024-11-27 21:03:00,2024-11-29 17:00:54.890398,Security & Fraud,CSR006
RQ00000214,CU000838,2024-10-02 15:26:00,2024-10-02 17:36:35.176639,Billing & Payments,CSR001
RQ00000215,CU000138,2024-03-09 22:27:00,2024-03-10 04:38:00.183329,Security & Fraud,CSR014
RQ00000216,CU001859,2024-03-02 14:11:00,2024-03-04 08:01:04.385413,Technical Support,CSR009
RQ00000217,CU001445,2024-08-04 06:05:00,2024-08-04 10:25:41.955057,Service & Account Management,CSR015
RQ00000218,CU000816,2024-11-25 12:56:00,2024-11-25 13:52:11.786956,Service & Account Management,CSR013
RQ00000219,CU000054,2024-08-28 21:37:00,2024-09-03 06:38:43.908048,Technical Support,CSR007
RQ00000220,CU001492,2024-03-27 03:56:00,2024-03-27 05:41:24.658305,General Inquiry,CSR015
RQ00000221,CU000909,2024-11-05 18:38:00,2024-11-05 20:21:14.486131,General Inquiry,CSR005
RQ00000222,CU001148,2024-11-25 12:49:00,2024-11-25 20:26:32.828910,Billing & Payments,CSR009
RQ00000223,CU001765,2024-05-02 17:50:00,2024-05-03 19:12:20.017882,Technical Support,CSR009
RQ00000224,CU000405,2024-04-24 10:56:00,2024-04-24 13:03:47.754870,Service & Account Management,CSR007
RQ00000225,CU000103,2024-07-19 13:21:00,2024-07-20 17:47:39.819314,Security & Fraud,CSR002
RQ00000226,CU000599,2024-08-05 01:21:00,2024-08-05 07:02:13.199391,Service & Account Management,CSR007
RQ00000227,CU000714,2024-08-13 18:12:00,2024-08-14 13:38:32.762722,Security & Fraud,CSR009
RQ00000228,CU000436,2024-05-28 16:04:00,2024-05-31 15:44:33.032152,Technical Support,CSR009
RQ00000229,CU000074,2024-06-24 22:31:00,2024-06-24 23:31:24.307588,General Inquiry,CSR006
RQ00000230,CU000071,2024-09-27 21:47:00,2024-09-28 03:27:50.304155,Service & Account Management,CSR004
RQ00000231,CU001467,2024-06-04 19:50:00,2024-06-04 20:53:12.985528,General Inquiry,CSR005
RQ00000232,CU002393,2024-02-02 17:30:00,2024-02-02 23:24:15.811994,Service & Account Management,CSR006
RQ00000233,CU000487,2024-01-27 02:59:00,2024-01-29 03:15:03.722899,Technical Support,CSR001
RQ00000234,CU000622,2024-10-01 08:24:00,2024-10-01 08:49:10.785948,General Inquiry,CSR002
RQ00000235,CU001218,2024-03-25 15:09:00,2024-03-28 07:01:36.052919,Technical Support,CSR009
RQ00000236,CU000751,2024-10-20 02:28:00,2024-10-26 04:06:59.579550,Technical Support,CSR013
RQ00000237,CU001132,2024-10-06 03:12:00,2024-10-06 04:20:44.621834,General Inquiry,CSR003
RQ00000238,CU000124,2024-07-26 18:16:00,2024-08-02 08:51:00.729300,Technical Support,CSR012
RQ00000239,CU001722,2024-07-13 00:42:00,2024-07-17 13:17:38.609735,Technical Support,CSR013
RQ00000240,CU001945,2024-10-03 17:56:00,2024-10-03 20:31:53.159393,Service & Account Management,CSR010
RQ00000241,CU000230,2024-12-25 07:39:00,2024-12-25 10:19:19.958200,Service & Account Management,CSR011
RQ00000242,CU001555,2024-02-15 05:48:00,2024-02-15 06:57:11.787750,General Inquiry,CSR014
RQ00000243,CU000318,2024-02-14 16:11:00,2024-02-15 03:03:46.931209,Billing & Payments,CSR013
RQ00000244,CU001411,2024-01-06 21:24:00,2024-01-07 02:07:27.419986,Billing & Payments,CSR002
RQ00000245,CU000254,2024-07-13 14:30:00,2024-07-14 23:19:52.853780,Security & Fraud,CSR002
RQ00000246,CU000284,2024-09-02 16:02:00,2024-09-07 18:20:30.424177,Technical Support,CSR009
RQ00000247,CU000956,2024-07-10 01:00:00,2024-07-11 20:14:45.938509,Security & Fraud,CSR006
RQ00000248,CU001826,2024-03-07 21:41:00,2024-03-08 03:37:49.356366,Service & Account Management,CSR001
RQ00000249,CU001204,2024-04-21 14:14:00,2024-04-21 20:04:38.235315,Service & Account Management,CSR001
RQ00000250,CU000952,2024-03-14 20:03:00,2024-03-14 22:49:52.741043,Billing & Payments,CSR003
RQ00000251,CU001935,2024-12-27 21:28:00,2024-12-28 02:37:14.298212,Service & Account Management,CSR007
RQ00000252,CU000496,2024-02-08 15:29:00,2024-02-10 01:41:08.217236,Technical Support,CSR009
RQ00000253,CU001852,2024-03-24 08:12:00,2024-03-28 15:39:56.209453,Technical Support,CSR009
RQ00000254,CU001115,2024-08-15 20:21:00,2024-08-15 22:45:04.662312,Service & Account Management,CSR013
RQ00000255,CU002346,2024-02-05 02:14:00,2024-02-05 16:05:15.454651,Security & Fraud,CSR006
RQ00000256,CU001249,2024-05-05 22:52:00,2024-05-10 15:29:24.064106,Technical Support,CSR001
RQ00000257,CU002133,2024-10-02 16:16:00,2024-10-03 08:48:58.017820,Billing & Payments,CSR006
RQ00000258,CU001465,2024-07-22 10:25:00,2024-07-22 12:06:49.376948,General Inquiry,CSR013
RQ00000259,CU000205,2024-05-03 06:33:00,2024-05-03 11:34:49.570238,Security & Fraud,CSR012
RQ00000260,CU001524,2024-10-09 20:54:00,2024-10-10 22:41:38.286166,Security & Fraud,CSR008
RQ00000261,CU001053,2024-01-08 03:24:00,2024-01-08 08:57:16.855055,Service & Account Management,CSR009
